Title,Date,Category,Link,Agency
Former Arlington Resident Sentenced To Prison For Disclosing Healthcare Records And Trying To Cover Up His Crimes,2024-11-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-arlington-resident-sentenced-to-prison-for-disclosing-healthcare-records-and-trying-to-cover-up-his-crimes/,"U.S. Attorney's Office, Eastern District of Virginia"
Paroled Felon Sentenced To Six Years For Fraudulent Use Of Social Security Number And Theft Of Benefits,2024-11-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/paroled-felon-sentenced-to-six-years-for-fraudulent-use-of-social-security-number-and-theft-of-benefits/,"U.S. Attorney's Office, Middle District of Florida"
Former Licensed Counselor Sentenced For Defrauding Medicaid,2024-11-06,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-licensed-counselor-sentenced-for-defrauding-medicaid/,"U.S. Attorney's Office, Western District of Texas"
"Macomb County Doctor And Pharmacist Agree To Pay $700,948 To Settle False Claims Act Allegations",2024-11-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/macomb-county-doctor-and-pharmacist-agree-to-pay-700948-to-settle-false-claims-act-allegations/,"U.S. Attorney's Office, Eastern District of Michigan"
"Rocky Hill Pharmacy And Its Owners Indicted For Conspiring To Submit False Pharmacy Claims, Making False Statements, And Aggravated Identity Theft",2024-11-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/rocky-hill-pharmacy-and-its-owners-indicted-for-conspiring-to-submit-false-pharmacy-claims-making-false-statements-and-aggravated-identity-theft/,"U.S. Attorney's Office, Eastern District of Tennessee"
"North Texas Medical Center Pays $14.2 Million To Resolve Potential False Claims Act Liability For Self-Reported Violations Of Medicare Regs, Stark Law",2024-11-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-texas-medical-center-pays-142-million-to-resolve-potential-false-claims-act-liability-for-self-reported-violations-of-medicare-regs-stark-law/,"U.S. Attorney's Office, Northern District of Texas"
New England Doctor Pleads Guilty To Drug Distribution Conspiracy,2024-11-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-england-doctor-pleads-guilty-to-drug-distribution-conspiracy/,U.S. Department of Justice
St. Louis County Woman Accused Of $3 Million Home Health Care Fraud,2024-11-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/st-louis-county-woman-accused-of-3-million-home-health-care-fraud/,"U.S. Attorney's Office, Eastern District of Missouri"
Lab Owner And Marketing Company Owner Both Found Guilty In Multi-Million Dollar Medicare And Medicaid Fraud Scheme,2024-11-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lab-owner-and-marketing-company-owner-both-found-guilty-in-multi-million-dollar-medicare-and-medicaid-fraud-scheme/,"U.S. Attorney's Office, Middle District of Tennessee"
"Compound Ingredient Supplier Medisca Inc., To Pay $21.75M To Resolve Allegations Of False And Inflated Average Wholesale Prices For Ingredients Used In Compounded Prescriptions",2024-11-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/compound-ingredient-supplier-medisca-inc-to-pay-2175m-to-resolve-allegations-of-false-and-inflated-average-wholesale-prices-for-ingredients-used-in-compounded-prescriptions/,U.S. Department of Justice
"Michael DePalma, MD and Virginia I-Spine Physicians Agreed to Pay $153,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Exceeded the Allowable Number of Services",2024-10-31,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/michael-depalma-md-and-virginia-i-spine-physicians-agreed-to-pay-153000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-exceeded-the-allowable-number-of-services/,N/A
"Columbus Doctor, His Clinic Convicted of $1.5 Million Medicaid Scheme",2024-10-31,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/columbus-doctor-his-clinic-convicted-of-15-million-medicaid-scheme/,Ohio
"Mercy Health Youngstown Agreed to Pay $69,000 for Allegedly Violating the Civil Monetary Penalties Law by Contracting with an Excluded Individual",2024-10-30,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/mercy-health-youngstown-agreed-to-pay-69000-for-allegedly-violating-the-civil-monetary-penalties-law-by-contracting-with-an-excluded-individual/,N/A
"Quincy-Based Physician Group To Pay $650,000 To Resolve Allegations Of False Billing To MassHealth",2024-10-30,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/quincy-based-physician-group-to-pay-650000-to-resolve-allegations-of-false-billing-to-masshealth/,State of Massachusetts
Boise Health Care Company And Former Therapist Resolve Fraudulent Psychotherapy Billing Allegations Involving Vulnerable Refugee Population,2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/boise-health-care-company-and-former-therapist-resolve-fraudulent-psychotherapy-billing-allegations-involving-vulnerable-refugee-population/,"U.S. Attorney's Office, District of Idaho"
Drug Dealer Sentenced To Nine Years In Prison For Opioid Pill Mill Scheme That Illegally Distributed More Than 1.2 Million Oxycodone Pills,2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/drug-dealer-sentenced-to-nine-years-in-prison-for-opioid-pill-mill-scheme-that-illegally-distributed-more-than-12-million-oxycodone-pills/,"U.S. Attorney's Office, Eastern District of New York"
"Former Sioux City Plastic Surgeon Agrees To Pay Nearly $200,000 To Settle Allegations He Submitted False Claims",2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-sioux-city-plastic-surgeon-agrees-to-pay-nearly-200000-to-settle-allegations-he-submitted-false-claims/,"U.S. Attorney's Office, Northern District of Iowa"
Medical Billing Company Owner Pleads Guilty To Health Care Fraud,2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-billing-company-owner-pleads-guilty-to-health-care-fraud/,"U.S. Attorney's Office, Northern District of New York"
Doctor Sentenced For $54M Medicare Fraud Scheme,2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-sentenced-for-54m-medicare-fraud-scheme/,U.S. Department of Justice
AG's Office Reaches Settlement With Swampscott-Based Medical Transportation Company To Resolve False Billing Allegations,2024-10-29,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ags-office-reaches-settlement-with-swampscott-based-medical-transportation-company-to-resolve-false-billing-allegations/,State of Massachusetts
Physician Charged In Scheme To Illegally Sell Cancer Drugs,2024-10-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-charged-in-scheme-to-illegally-sell-cancer-drugs/,"U.S. Attorney's Office, Eastern District of Michigan"
Washington Doctor Settles Allegations He Submitted False Claims To Federal Health Care Programs,2024-10-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/washington-doctor-settles-allegations-he-submitted-false-claims-to-federal-health-care-programs/,"U.S. Attorney's Office, Western District of Washington"
