Title,Date,Category,Link
Former Arlington Resident Sentenced To Prison For Disclosing Healthcare Records And Trying To Cover Up His Crimes,2024-11-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/
Paroled Felon Sentenced To Six Years For Fraudulent Use Of Social Security Number And Theft Of Benefits,2024-11-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/about/
Former Licensed Counselor Sentenced For Defrauding Medicaid,2024-11-06,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/civil-monetary-penalty-authorities/
"Macomb County Doctor And Pharmacist Agree To Pay $700,948 To Settle False Claims Act Allegations",2024-11-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-arlington-resident-sentenced-to-prison-for-disclosing-healthcare-records-and-trying-to-cover-up-his-crimes/
"Rocky Hill Pharmacy And Its Owners Indicted For Conspiring To Submit False Pharmacy Claims, Making False Statements, And Aggravated Identity Theft",2024-11-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/paroled-felon-sentenced-to-six-years-for-fraudulent-use-of-social-security-number-and-theft-of-benefits/
"North Texas Medical Center Pays $14.2 Million To Resolve Potential False Claims Act Liability For Self-Reported Violations Of Medicare Regs, Stark Law",2024-11-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-licensed-counselor-sentenced-for-defrauding-medicaid/
New England Doctor Pleads Guilty To Drug Distribution Conspiracy,2024-11-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/macomb-county-doctor-and-pharmacist-agree-to-pay-700948-to-settle-false-claims-act-allegations/
St. Louis County Woman Accused Of $3 Million Home Health Care Fraud,2024-11-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/rocky-hill-pharmacy-and-its-owners-indicted-for-conspiring-to-submit-false-pharmacy-claims-making-false-statements-and-aggravated-identity-theft/
Lab Owner And Marketing Company Owner Both Found Guilty In Multi-Million Dollar Medicare And Medicaid Fraud Scheme,2024-11-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-texas-medical-center-pays-142-million-to-resolve-potential-false-claims-act-liability-for-self-reported-violations-of-medicare-regs-stark-law/
"Compound Ingredient Supplier Medisca Inc., To Pay $21.75M To Resolve Allegations Of False And Inflated Average Wholesale Prices For Ingredients Used In Compounded Prescriptions",2024-11-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-england-doctor-pleads-guilty-to-drug-distribution-conspiracy/
"Columbus Doctor, His Clinic Convicted of $1.5 Million Medicaid Scheme",2024-10-31,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/st-louis-county-woman-accused-of-3-million-home-health-care-fraud/
"Quincy-Based Physician Group To Pay $650,000 To Resolve Allegations Of False Billing To MassHealth",2024-10-30,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/lab-owner-and-marketing-company-owner-both-found-guilty-in-multi-million-dollar-medicare-and-medicaid-fraud-scheme/
Boise Health Care Company And Former Therapist Resolve Fraudulent Psychotherapy Billing Allegations Involving Vulnerable Refugee Population,2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/compound-ingredient-supplier-medisca-inc-to-pay-2175m-to-resolve-allegations-of-false-and-inflated-average-wholesale-prices-for-ingredients-used-in-compounded-prescriptions/
Drug Dealer Sentenced To Nine Years In Prison For Opioid Pill Mill Scheme That Illegally Distributed More Than 1.2 Million Oxycodone Pills,2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/columbus-doctor-his-clinic-convicted-of-15-million-medicaid-scheme/
"Former Sioux City Plastic Surgeon Agrees To Pay Nearly $200,000 To Settle Allegations He Submitted False Claims",2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/quincy-based-physician-group-to-pay-650000-to-resolve-allegations-of-false-billing-to-masshealth/
Medical Billing Company Owner Pleads Guilty To Health Care Fraud,2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/boise-health-care-company-and-former-therapist-resolve-fraudulent-psychotherapy-billing-allegations-involving-vulnerable-refugee-population/
Doctor Sentenced For $54M Medicare Fraud Scheme,2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/drug-dealer-sentenced-to-nine-years-in-prison-for-opioid-pill-mill-scheme-that-illegally-distributed-more-than-12-million-oxycodone-pills/
AG's Office Reaches Settlement With Swampscott-Based Medical Transportation Company To Resolve False Billing Allegations,2024-10-29,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-sioux-city-plastic-surgeon-agrees-to-pay-nearly-200000-to-settle-allegations-he-submitted-false-claims/
Physician Charged In Scheme To Illegally Sell Cancer Drugs,2024-10-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-billing-company-owner-pleads-guilty-to-health-care-fraud/
Washington Doctor Settles Allegations He Submitted False Claims To Federal Health Care Programs,2024-10-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-sentenced-for-54m-medicare-fraud-scheme/
Tennessee Business Owner Convicted of $35M Fraud Scheme,2024-10-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/
Attorney General Griffin Announces Medicaid Fraud Arrest,2024-10-25,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/about/
Arizona Doctor Sentenced To Prison For Health Care Fraud,2024-10-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/civil-monetary-penalty-authorities/
Pharmacy Owner Sentenced For Role In $6.9 Million Scheme To Bill Insurance For Medications Not Dispensed,2024-10-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tennessee-business-owner-convicted-of-35m-fraud-scheme/
Attorney General Alan Wilson Announces Spartanburg Nurse Aide Charged With Stealing From Vulnerable Adult,2024-10-24,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-griffin-announces-medicaid-fraud-arrest/
"Coliseum Medical Center Agreed to Pay $100,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examination",2024-10-23,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/arizona-doctor-sentenced-to-prison-for-health-care-fraud/
New York Doctor Charged with Health Care Fraud,2024-10-23,EMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-sentenced-for-role-in-69-million-scheme-to-bill-insurance-for-medications-not-dispensed/
Former Eastern Kentucky Pharmacist Sentenced For Health Care Fraud,2024-10-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-spartanburg-nurse-aide-charged-with-stealing-from-vulnerable-adult/
"California Mobile Phlebotomy Lab And Its Owners To Pay $135,000 To Resolve Allegedly False Claims For Blood Testing Services And Travel Mileage",2024-10-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/coliseum-medical-center-agreed-to-pay-100000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-appropriate-medical-screening-examination/
Stamford Woman Charged In Scheme To Defraud Medicaid,2024-10-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-york-doctor-charged-with-health-care-fraud/
Attorney General James Announces Convictions of Orange County Transportation Company Owners for Stealing More Than $2.1 Million from Medicaid,2024-10-22,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-eastern-kentucky-pharamacist-sentenced-for-healthcare-fraud/
Waterford Woman Admits Theft from Addiction and Mental Health Services Nonprofit,2024-10-21,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/california-mobile-phlebotomy-lab-and-its-owners-to-pay-135000-to-resolve-allegedly-false-claims-for-blood-testing-services-and-travel-mileage/
New Rochelle Physician Pleads Guilty To Selling Thousands Of Oxycodone Pills For Cash,2024-10-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/stamford-woman-charged-in-scheme-to-defraud-medicaid/
Chattanooga Provider Settles Allegations Of Improper Billing For Electro-Acupuncture Devices,2024-10-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-convictions-of-orange-county-transportation-company-owners-for-stealing-more-than-21-million-from-medicaid/
Miami Man Sentenced to Over 5 Years in Prison and Ordered to Pay Over $3.8 Million for Fraudulently Billing Medicaid for Psychosocial Rehabilitation Services,2024-10-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/waterford-woman-admits-theft-from-addiction-and-mental-health-services-nonprofit/
"Court Awards State $425,940.54 Against Komfort & Kare LLC Assisted Living Program For Housing Medicaid Recipients In Unlicensed Facilities",2024-10-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-rochelle-physician-pleads-guilty-to-selling-thousands-of-oxycodone-pills-for-cash/
Attorney General Bonta Announces Criminal Charges Against Southern California Dentist for Medi-Cal Fraud,2024-10-17,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/chattanooga-provider-settles-allegations-of-improper-billing-for-electro-acupuncture-devices/
Harrisburg Woman Pleads Guilty To Health Care Fraud And Bank Fraud Charges,2024-10-16,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/miami-man-sentenced-to-over-5-years-in-prison-and-ordered-to-pay-over-38-million-for-fraudulently-billing-medicaid-for-psychosocial-rehabilitation-services/
